Time,kVARh,kWh,Power_Factor
103,163.349997,209.279993,0.78830575
104,161.969997,220.34999,0.805412416666667
105,162.359997,239.639995,0.827745166666667
106,160.439997,245.939993,0.837488333333333
107,159.749999,251.399993,0.8440095
108,160.799998,256.889996,0.847601166666667
109,160.319996,258.629993,0.849932166666667
110,159.269997,250.289993,0.84361675
111,160.079998,233.639995,0.824775916666667
112,158.639998,223.649993,0.815671833333333
113,156.149997,206.759997,0.801969583333333
114,169.859996,211.829997,0.780153333333333
115,171.299997,211.859993,0.777608916666667
116,171.029996,211.889998,0.778138833333333
117,171.029996,212.279993,0.778701916666667
118,171.419997,212.129996,0.777782416666667
119,170.79,211.739996,0.778353416666667
120,73.979999,134.88,0.889783307692308
121,43.23,97.829998,0.914661454545455
122,47.49,106.95,0.91394475
123,47.61,106.38,0.9127535
124,46.8,106.89,0.91602475
125,104.639999,155.339998,0.849026416666667
126,170.039997,211.289998,0.7790605
127,165.449998,229.109997,0.810278833333333
128,163.379998,253.049996,0.83958375
129,159.749996,283.589994,0.871106
130,158.519998,301.799994,0.885266916666667
131,159.359994,315.959992,0.892725166666667
132,159.359997,324.569995,0.89753525
133,160.049996,324.149988,0.896570333333333
134,160.889998,309.089992,0.88696275
135,159.299997,305.699992,0.886818
136,163.769996,307.169996,0.8823665
137,163.829997,302.039993,0.87900575
138,164.819998,293.039995,0.871511083333333
139,167.909996,284.009996,0.860790083333333
140,169.319997,277.079995,0.853260333333333
141,95.519999,207.329992,0.909361083333333
142,50.55,157.319997,0.952328916666667
143,49.56,131.579997,0.93524825
144,53.85,133.589999,0.927476846153846
145,45.84,111.57,0.924957909090909
146,50.94,108.39,0.905028166666666
147,50.58,116.219999,0.916272833333333
148,50.04,117.629998,0.91988275
149,50.58,109.199997,0.907390083333333
150,46.8,117.029997,0.927729666666667
151,42.45,131.969999,0.951578
152,151.949998,241.409994,0.849176833333333
153,160.679998,294.869994,0.877223583333333
154,159.539997,304.019992,0.885437583333333
155,160.769999,314.33999,0.890264333333333
156,159.959998,327.809992,0.898537916666667
157,159.029997,319.439993,0.895029166666667
158,160.709995,313.94999,0.890063666666667
159,161.909998,310.169992,0.88643575
160,163.32,303.329992,0.880257666666667
161,161.069996,287.669993,0.872517666666667
162,162.359999,289.919993,0.8724145
163,166.379999,274.829995,0.855078166666667
164,168.389996,254.159993,0.83358475
165,95.07,193.259996,0.898629583333333
166,50.94,143.279997,0.942548666666667
167,48.48,122.219997,0.929291416666667
168,54,130.559991,0.923897692307692
169,44.43,102.449999,0.916929363636364
170,49.29,108.149999,0.909957666666667
171,49.32,120.239998,0.924894083333333
172,47.16,110.069999,0.918957833333333
173,48.12,108.779997,0.9145075
174,45.96,121.199999,0.9350215
175,39.87,130.859997,0.955880916666667
176,145.109996,238.679997,0.857083
177,157.409997,300.449997,0.88533025
178,155.789996,305.459992,0.890803916666667
179,157.679995,321.38999,0.89735875
180,154.499997,330.65999,0.905793333333333
