Account,Date,kVARh,kWh,Power_Factor
26429741007,04/02/2014,424.1025,2051.730037,0.978350649305556
26429741007,04/03/2014,398.565,2029.545024,0.980509222222223
26429741007,04/04/2014,366.1875,1983.982527,0.982870538194443
26429741007,04/05/2014,294.1425,1574.2125,0.982874659722222
26429741007,04/06/2014,271.62,1539.18,0.984627479166667
26429741007,04/07/2014,317.07,1932.097534,0.986755743055556
26429741007,04/08/2014,283.5,1929.105033,0.988926340277777
26429741007,04/09/2014,285.93,1893.780027,0.988743538194444
26429741007,04/10/2014,289.9575,1883.092523,0.9874526875
26429741007,04/11/2014,300.8025,1830.15001,0.986148590277778
26429741007,04/12/2014,299.745,1523.295,0.98104775
26429741007,04/13/2014,287.01,1485.4725,0.981688680555556
26429741007,04/14/2014,324.2475,1930.680034,0.986098194444444
26429741007,04/15/2014,321.3675,1986.952531,0.986886586805556
26429741007,04/16/2014,369.0225,2101.747539,0.984389743055556
26429741007,04/17/2014,389.475,2074.410027,0.982825163194444
26429741007,04/18/2014,406.7775,2026.912533,0.979591659722222
26429741007,04/19/2014,407.4075,1723.837501,0.973235750000001
26429741007,04/20/2014,405.6075,1748.7675,0.974178541666666
26429741007,04/21/2014,349.38,1721.992501,0.979913875
26429741007,04/22/2014,315.1575,1862.235029,0.948022302083333
26429741007,04/23/2014,299.16,1933.897521,0.987644739583334
26429741007,04/24/2014,315.405,1946.655028,0.986720024305555
26429741007,04/25/2014,346.0725,1915.290016,0.984046298611111
26429741007,04/26/2014,368.37,1660.590001,0.976288045138888
26429741007,04/27/2014,371.745,1669.4775,0.9760205625
26429741007,04/28/2014,379.5075,2037.757539,0.982731267361111
26429741007,04/29/2014,378.3825,2062.867524,0.982626788194444
26429741007,04/30/2014,367.515,2057.017536,0.983775534722222
26429741007,05/01/2014,321.57,1980.720034,0.986621107638889
26429741007,05/02/2014,298.8,1968.59253,0.988397618055556
26429741007,05/03/2014,274.4325,1569.1725,0.984945947916667
26429741007,05/04/2014,274.59,1572.165001,0.984953774305556
26429741007,05/05/2014,278.73,1872.855026,0.988821736111111
26429741007,05/06/2014,271.0125,1861.852516,0.989103861111111
26429741007,05/07/2014,260.19,1836.000028,0.989632350694444
26429741007,05/08/2014,276.48,1865.610018,0.988838795138889
26429741007,05/09/2014,256.6125,1826.100011,0.989771552083334
26429741007,05/10/2014,249.4125,1522.485,0.986706371527778
26429741007,05/11/2014,291.2175,1571.1525,0.983135888888888
26429741007,05/12/2014,360.3375,2144.790037,0.986035656250001
26429741007,05/13/2014,264.87,1919.115027,0.9901141875
26429741007,05/14/2014,270.0675,1875.555019,0.989332034722222
26429741007,05/15/2014,371.0025,2144.205048,0.985260440972222
26429741007,05/16/2014,347.4675,2017.642528,0.985342503472222
26429741007,05/17/2014,329.31,1704.645,0.981742125
26429741007,05/18/2014,292.905,1620.5625,0.983828190972221
26429741007,05/19/2014,304.56,1958.512533,0.987755072916667
26429741007,05/20/2014,329.895,2037.577541,0.986590256944445
26429741007,05/21/2014,342.99,2059.920028,0.985954614583334
26429741007,05/22/2014,311.6025,1916.077521,0.986374194444444
26429741007,05/23/2014,309.69,1844.797518,0.985349795138888
26429741007,05/24/2014,254.8575,1484.46,0.985513072916666
26429741007,05/25/2014,236.295,1457.505,0.986958381944445
26429741007,05/26/2014,233.28,1456.2675,0.987255795138889
26429741007,05/27/2014,261.6975,1765.867521,0.951174631944444
26429741007,05/28/2014,241.0425,1879.785025,0.990934916666667
26429741007,05/29/2014,272.925,1896.32253,0.989314763888889
26429741007,05/30/2014,314.46,1870.605013,0.985534791666666
26429741007,05/31/2014,273.8475,1482.615,0.983250524305555
26429741007,06/01/2014,272.79,1539.4725,0.984561659722222
26429741007,06/02/2014,350.145,2101.567544,0.986082753472221
26429741007,06/03/2014,402.0975,2201.152552,0.983355916666667
26429741007,06/04/2014,307.305,1928.745031,0.98703484375
26429741007,06/05/2014,339.0525,2033.955039,0.985461034722223
26429741007,06/06/2014,333.855,1919.407525,0.984886802083334
26429741007,06/07/2014,352.1925,1713.1275,0.979463447916667
26429741007,06/08/2014,364.095,1781.3925,0.979682559027777
26429741007,06/09/2014,448.5825,2259.472551,0.98039471875
26429741007,06/10/2014,552.8925,2500.267568,0.975527552083334
26429741007,06/11/2014,465.9075,2274.32254,0.978964211805555
26429741007,06/12/2014,356.355,2058.750039,0.984662402777778
26429741007,06/13/2014,349.74,1979.437527,0.984191319444444
26429741007,06/14/2014,321.5475,1612.71,0.980594302083333
26429741007,06/15/2014,362.475,1659.420001,0.976881538194444
26429741007,06/16/2014,431.7075,2190.870045,0.977429634146342
26429741007,06/17/2014,529.065,2569.095057,0.979097638888889
26429741007,06/18/2014,681.5475,3004.020086,0.974777277777778
26429741007,06/19/2014,617.4,2833.965093,0.976667965277778
26429741007,06/20/2014,509.4225,2341.575051,0.976507173611111
26429741007,06/21/2014,431.2125,1912.725007,0.97563068641115
26429741007,06/22/2014,441.2925,1896.592506,0.974009326388888
26429741007,06/23/2014,538.267499999999,2513.025066,0.977280593749999
26429741007,06/24/2014,572.6025,2584.530065,0.938661309027778
26429741007,06/25/2014,687.465,2986.875096,0.974120517361111
26429741007,06/26/2014,670.545,2907.607587,0.973622732638889
26429741007,06/27/2014,577.08,2528.21256,0.973743826388889
26429741007,06/28/2014,598.8375,2201.467538,0.964905225694445
26429741007,06/29/2014,578.745,2168.010034,0.966362017361111
26429741007,06/30/2014,692.775,3025.73259,0.973654430555555
26429741007,07/01/2014,796.6575,3294.472613,0.972029465277778
26429741007,07/02/2014,819.5175,3392.257619,0.971249611111111
26429741007,07/03/2014,727.9875,3106.417616,0.973434100694445
26429741007,07/04/2014,478.71,2103.412523,0.975094881944444
26429741007,07/05/2014,395.145,1937.295003,0.979738763888889
26429741007,07/06/2014,419.2425,2047.275018,0.979680687499999
26429741007,07/07/2014,640.395,3017.295086,0.9785686875
26429741007,07/08/2014,696.645,3150.742608,0.976055572916666
26429741007,07/09/2014,711.6075,3151.395094,0.975177927083333
26429741007,07/10/2014,664.784999999999,3012.772597,0.976259937499999
26429741007,07/11/2014,540.1125,2558.520069,0.978273666666666
26429741007,07/12/2014,491.939999999999,2120.602534,0.974412399305555
26429741007,07/13/2014,515.969999999999,2216.542555,0.97414996875
26429741007,07/14/2014,622.665,3053.835091,0.979450194444444
26429741007,07/15/2014,671.04,3153.172597,0.977550694444445
26429741007,07/16/2014,713.9025,3053.700117,0.973399451388889
26429741007,07/17/2014,599.625,2737.03507,0.975954163194445
26429741007,07/18/2014,545.895,2567.227565,0.977638930555555
26429741007,07/19/2014,452.4525,1896.81751,0.972708895833333
26429741007,07/20/2014,424.485,1876.320006,0.975379979166667
26429741007,07/21/2014,506.4975,2602.327561,0.981272159722222
26429741007,07/22/2014,645.975,2929.680093,0.939170628472222
26429741007,07/23/2014,673.875,3092.220098,0.977081451388888
26429741007,07/24/2014,580.2975,2841.210077,0.976132522648084
26429741007,07/25/2014,497.2275,2483.460069,0.980469548611111
26429741007,07/26/2014,471.1725,2087.122518,0.975713808362369
26429741007,07/27/2014,447.03,2073.35252,0.977594434027778
26429741007,07/28/2014,594,3004.38009,0.981303562500001
26429741007,07/29/2014,537.5025,2754.562585,0.9813301875
26429741007,07/30/2014,546.3,2791.35008,0.981421454861111
26429741007,07/31/2014,541.0125,2846.812583,0.98246254513889
26429741007,08/01/2014,534.51,2744.145095,0.981387920138889
26429741007,08/02/2014,419.6025,2031.615013,0.979372743055556
26429741007,08/03/2014,340.3575,1866.645002,0.983713350694445
26429741007,08/04/2014,520.695,2694.015073,0.981692232638889
26429741007,08/05/2014,612.6525,2995.852594,0.979685097222222
26429741007,08/06/2014,626.7825,3022.177598,0.978610197916667
26429741007,08/07/2014,583.6275,2706.907592,0.977362940972223
26429741007,08/08/2014,520.2225,2510.865065,0.979118805555556
26429741007,08/09/2014,471.195,2050.987519,0.974870920138889
26429741007,08/10/2014,473.7825,2084.647524,0.975279076388889
26429741007,08/11/2014,592.0425,2872.05759,0.979074510416667
26429741007,08/12/2014,616.14,2949.705089,0.978341309027778
26429741007,08/13/2014,550.17,2649.127576,0.978110711805557
26429741007,08/14/2014,487.3725,2410.222559,0.979764638888889
26429741007,08/15/2014,430.38,2281.612547,0.982495065972222
26429741007,08/16/2014,348.525,1809.180003,0.981913072916668
26429741007,08/17/2014,389.925,1864.012506,0.978903875
26429741007,08/18/2014,459.6525,2339.415054,0.981223184027777
26429741007,08/19/2014,485.46,2402.887563,0.979776430555556
26429741007,08/20/2014,497.2725,2476.012564,0.980150083333334
26429741007,08/21/2014,486.9,2428.425053,0.980480121527778
26429741007,08/22/2014,474.367499999999,2350.822548,0.980209159722222
26429741007,08/23/2014,395.1675,1937.722511,0.979924079861111
26429741007,08/24/2014,414.8775,1980.697516,0.978819305555555
26429741007,08/25/2014,554.7375,2772.787571,0.980418819444444
26429741007,08/26/2014,630.63,2995.245085,0.978310149305556
26429741007,08/27/2014,674.91,3159.495117,0.977886138888889
26429741007,08/28/2014,592.4925,2855.34008,0.978772486111111
26429741007,08/29/2014,469.89,2325.510046,0.980073184027777
26429741007,08/30/2014,444.8925,1993.927515,0.976172020833333
26429741007,08/31/2014,497.79,2167.605037,0.974789378472222
26429741007,09/01/2014,524.205,2193.277531,0.972688291666667
26429741007,09/02/2014,765.922499999999,3408.840113,0.975264243055555
26429741007,09/03/2014,732.2625,3277.642617,0.975355899305556
26429741007,09/04/2014,655.7625,3094.830106,0.977627232638889
26429741007,09/05/2014,689.6025,2983.6351,0.974287045138889
26429741007,09/06/2014,643.905,2508.88507,0.968908677083333
26429741007,09/07/2014,523.755,2211.12003,0.973125506944444
26429741007,09/08/2014,500.04,2619.450051,0.981461614583333
26429741007,09/09/2014,475.0875,2440.485054,0.980802916666667
26429741007,09/10/2014,455.6025,2422.215064,0.982266604166666
26429741007,09/11/2014,511.515,2501.257565,0.979753399305555
26429741007,09/12/2014,433.89,2249.325046,0.981622048611111
26429741007,09/13/2014,331.2,1748.25,0.982545204861111
26429741007,09/14/2014,355.7475,1743.615003,0.979834052083333
26429741007,09/15/2014,325.2375,1989.630044,0.986629135416666
26429741007,09/16/2014,295.0425,1960.042531,0.988496923611111
26429741007,09/17/2014,304.29,1945.327537,0.987619708333333
26429741007,09/18/2014,327.33,1979.347538,0.986515458333334
26429741007,09/19/2014,287.955,1848.397515,0.987670579861111
26429741007,09/20/2014,258.48,1576.17,0.986678541666667
26429741007,09/21/2014,317.07,1672.515001,0.982435072916667
26429741007,09/22/2014,361.5525,2127.487541,0.985558079861111
26429741007,09/23/2014,275.0175,1894.680029,0.951443472222222
26429741007,09/24/2014,294.12,2014.605043,0.98920395138889
26429741007,09/25/2014,272.52,1932.615021,0.989834888888889
26429741007,09/26/2014,309.1275,1978.560032,0.988104416666667
26429741007,09/27/2014,292.0725,1662.547501,0.984864732638889
26429741007,09/28/2014,302.67,1733.715,0.985101579861111
26429741007,09/29/2014,396.6975,2309.265054,0.98585209375
26429741007,09/30/2014,283.185,2019.105041,0.989799815972223
26429741007,10/01/2014,257.9625,2005.78504,0.991287618055556
26429741007,10/02/2014,258.8625,1951.402531,0.990905677083334
26429741007,10/03/2014,244.1025,1847.115022,0.990903090277778
26429741007,10/04/2014,266.8275,1600.875,0.98628776388889
26429741007,10/05/2014,254.385,1527.1425,0.986240982638889
